BEGIN_DATE_TIME,EVENT_TYPE,CZ_NAME,STATE,CFSDate,IncidentType,ZIP Code
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27 - LARCENY THEFT,33127.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27V - LARCENY THEFT - MOTOR VEHICLE,33127.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27 - LARCENY THEFT,33127.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,28 - VANDALISM,33125.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,28 - VANDALISM,33131.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27V - LARCENY THEFT - MOTOR VEHICLE,33135.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27 - LARCENY THEFT,33126.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27 - LARCENY THEFT,33133.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27R - LARCENY THEFT – RETAIL,33133.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27V - LARCENY THEFT - MOTOR VEHICLE,33137.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27R - LARCENY THEFT – RETAIL,33130.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,28 - VANDALISM,33138.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27 - LARCENY THEFT,33136.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27V - LARCENY THEFT - MOTOR VEHICLE,33138.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27V - LARCENY THEFT - MOTOR VEHICLE,33133.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,27R - LARCENY THEFT – RETAIL,33133.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,28 - VANDALISM,33131.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,22 - STOLEN VEHICLE,33138.0
2024-03-22,Flood,MIAMI-DADE,FLORIDA,2024-03-22,22 - STOLEN VEHICLE,33125.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,28 - VANDALISM,33131.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27V - LARCENY THEFT - MOTOR VEHICLE,33127.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33137.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27 - LARCENY THEFT,33127.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,26 - BURGLARY,33136.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,26 - BURGLARY,33138.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27V - LARCENY THEFT - MOTOR VEHICLE,33132.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33137.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27 - LARCENY THEFT,33127.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,22 - STOLEN VEHICLE,33125.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33142.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,28 - VANDALISM,33137.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,22 - STOLEN VEHICLE,33138.0
